"1위","뜨거운 피","6.7","(123명)"
"2위","이상한 나라의 수학자","8.7","(227명)"
"3위","극장판 주술회전 0","7.6","(53명)"
"4위","더 배트맨","6.7","(285명)"
"5위","문폴","4.9","(123명)"
"6위","스펜서","7.5","(31명)"
"7위","벨파스트","8.2","(18명)"
"8위","에펠","8.2","(14명)"
"9위","뱅드림! 팝핀‘ 드림!","7.4","(5명)"
"10위","킹 리차드","7.9","(27명)"
"11위","리디밍 러브","7.9","(14명)"
"12위","하늘의 푸르름을 아는 사람이여","7.4","(27명)"
"13위","나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션","7.4","(12명)"
"14위","신비한 동물사전","7.0","(2375명)"
"15위","스파이더맨: 노 웨이 홈","7.0","(739명)"
